StudentID,Name,Class,StudyHoursPerDay,AttendancePercent,SleepHours,ScreenTimeHours,ExtracurricularHoursPerWeek,Maths,Physics,Chemistry,English,ComputerScience
1,Nikhil Mehta,11th,4.7,49,8.5,1.3,5.8,64,64,73,76,76
2,Simran Joshi,10th,4.0,53,5.6,1.7,1.2,53,45,48,45,47
3,Ritu Chawla,11th,2.3,95,5.0,7.1,0.8,41,37,37,41,54
4,Pallavi Agarwal,11th,2.6,67,7.3,5.4,4.6,59,50,58,66,53
5,Jyoti Reddy,10th,4.4,76,4.3,7.0,1.3,47,37,53,60,50
6,Rahul Mehta,10th,1.5,59,7.6,0.6,8.3,27,28,31,44,39
7,Xena Desai,11th,3.0,70,4.6,5.9,0.6,28,27,28,32,30
8,Manish Reddy,12th,2.7,52,4.6,4.6,9.8,33,37,39,43,50
9,Chetan Tiwari,11th,6.9,100,4.5,7.7,5.2,88,88,96,99,91
10,Aditya Tiwari,11th,2.7,46,9.4,7.2,4.7,31,31,29,27,33
11,Tara Sharma,11th,6.4,67,8.4,1.2,6.6,93,84,96,99,91
12,Sanjay Mehta,10th,1.3,74,8.4,1.7,8.3,56,50,48,62,66
13,Ishita Sharma,11th,1.7,77,5.3,5.5,2.6,29,29,40,40,41
14,Imran Vardhan,10th,4.4,94,8.4,2.0,4.7,78,73,85,84,78
15,Chetan Gupta,11th,2.5,77,7.3,2.2,2.8,56,42,60,64,50
16,Nikhil Gupta,12th,1.9,49,5.2,3.1,1.2,47,33,36,50,51
17,Zara Malhotra,12th,3.0,71,5.1,3.2,7.2,38,24,42,35,47
18,Rohan Vardhan,10th,2.1,53,8.5,7.7,6.8,42,40,43,55,56
19,Manish Gupta,12th,6.0,49,5.5,1.5,0.1,76,76,84,92,77
20,Ishita Patel,11th,3.7,56,5.5,7.3,9.9,24,37,31,41,40
21,Tanvi Bose,10th,6.9,66,5.1,8.0,7.3,70,,66,66,69
22,Suresh Joshi,12th,2.3,74,5.0,2.8,0.0,38,34,51,42,39
23,Deepika Sharma,10th,2.1,50,4.8,5.5,3.9,28,30,23,37,36
24,Tara Rao,10th,0.6,98,7.9,4.9,4.3,45,46,,55,54
25,Rohan Mehta,12th,2.7,51,6.1,4.3,0.5,28,19,22,40,33
26,Manish Joshi,12th,5.4,59,8.1,8.8,4.9,55,56,61,55,64
27,Simran Iyer,11th,6.8,51,7.8,6.2,2.9,68,58,67,,73
28,Kavya Kapoor,10th,6.4,58,4.4,1.3,7.5,63,64,61,71,68
29,Aisha Patel,12th,1.2,67,6.1,1.5,3.3,29,36,27,34,35
30,Chetan Nair,10th,2.2,48,8.6,2.9,9.4,28,23,43,44,45
31,Simran Chatterjee,11th,3.3,93,4.8,7.9,4.9,63,56,60,70,62
32,Vidya Singh,10th,1.7,96,6.7,2.4,9.1,61,52,62,63,68
33,Farhan Chatterjee,12th,1.7,62,5.9,1.0,2.8,44,49,48,52,54
34,Priya Mehta,10th,3.1,93,8.9,4.5,5.9,45,49,58,46,52
35,Vidya Vardhan,11th,0.9,94,4.2,7.1,2.3,47,34,50,44,50
36,Suresh Sharma,10th,3.9,74,5.5,3.2,8.4,51,38,56,51,58
37,Riya Joshi,11th,0.5,66,8.0,3.6,4.0,15,7,16,19,19
38,Tara Singh,10th,3.5,87,4.3,5.6,9.2,34,38,40,53,41
39,Vidya Tiwari,12th,3.4,64,7.7,3.7,3.7,,39,58,61,49
40,Simran Bose,11th,1.6,79,9.1,2.1,3.6,47,57,50,54,56
41,Kavya Yadav,12th,0.6,92,7.9,3.2,2.8,33,27,23,34,42
