StudentID,Name,Class,StudyHoursPerDay,AttendancePercent,SleepHours,ScreenTimeHours,AssignmentSubmissionRate,Test1_Score,Test2_Score,Test3_Score
1,Sanjay Malhotra,12th,3.1,58,6.6,2.3,90,58,53,50
2,Karan Mehta,10th,6.5,84,4.2,9.0,82,75,69,54
3,Divya Chatterjee,10th,1.1,99,4.1,1.9,73,47,35,32
4,Xena Pillai,12th,6.9,44,4.7,4.5,79,72,64,63
5,Lavanya Kapoor,11th,0.5,45,4.9,6.6,93,15,5,5
6,Neha Singh,12th,1.4,62,8.6,3.3,69,37,16,11
7,Nisha Pillai,10th,3.0,50,9.3,5.5,74,38,48,36
8,Deepika Chatterjee,11th,0.7,58,4.3,2.7,67,18,26,22
9,Abhinav Iyer,10th,2.0,81,6.9,6.7,33,43,40,43
10,Kabir Patel,10th,3.9,57,4.8,6.6,78,46,55,56
11,Manish Pillai,11th,5.3,91,9.0,1.6,42,72,74,63
12,Tanvi Desai,11th,3.0,96,5.2,1.9,53,68,68,66
13,Simran Sharma,11th,3.4,44,6.2,5.3,59,33,29,34
14,Yash Tiwari,12th,3.6,76,4.5,5.6,95,59,56,61
15,Tara Yadav,10th,2.7,60,7.6,4.1,39,47,50,42
16,Zara Chawla,11th,3.8,64,8.8,1.1,33,38,46,47
17,Sneha Kapoor,11th,2.5,54,7.5,8.7,40,19,14,5
18,Tara Pillai,12th,6.1,84,8.5,2.7,,92,95,97
19,Nikhil Rathore,11th,6.2,85,4.8,5.2,40,70,76,80
20,Gauri Rathore,12th,2.5,81,7.2,2.1,40,52,61,50
21,Suresh Bose,11th,5.1,50,9.2,4.5,85,63,62,62
22,Ishita Verma,11th,5.7,,8.8,3.6,39,76,68,52
23,Vikram Patel,10th,3.3,97,4.0,1.9,85,60,54,48
24,Ritu Chawla,10th,4.7,44,4.4,8.1,54,40,40,40
25,Divya Nair,10th,2.7,59,7.5,0.6,39,40,52,44
26,Ritu Iyer,11th,4.9,81,6.2,0.8,59,76,81,81
27,Rahul Rathore,12th,0.6,,7.3,5.9,52,14,20,13
28,Simran Rathore,12th,5.5,,7.4,5.6,44,87,87,84
29,Tara Nair,12th,0.5,64,7.6,1.9,98,31,36,32
30,Riya Gupta,10th,3.0,51,5.9,6.2,76,50,50,47
31,Bhavna Kaur,10th,6.5,73,6.0,8.9,67,61,65,67
32,Manish Singh,11th,5.8,54,6.7,2.8,98,83,76,77
33,Rahul Singh,11th,1.3,42,4.0,6.1,67,22,22,30
34,Simran Sharma,11th,6.4,48,6.7,4.4,79,74,63,66
35,Abhinav Chawla,10th,6.5,52,7.3,3.3,39,65,75,78
36,Vidya Rathore,12th,1.7,71,8.2,4.7,34,40,35,32
37,Yogesh Malhotra,10th,1.1,96,7.3,4.8,59,42,49,40
38,Riya Mehta,11th,3.0,68,7.5,4.4,95,49,59,60
39,Ritu Chatterjee,10th,2.6,,4.9,7.3,71,47,39,35
40,Divya Joshi,12th,1.0,74,7.5,5.8,45,38,35,28
41,Vikram Joshi,10th,3.2,90,8.5,4.9,31,53,51,54
42,Rohan Kapoor,12th,3.5,42,9.1,1.2,62,53,47,50
43,Harsh Patel,10th,1.1,77,4.5,3.3,47,36,24,24
44,Riya Chatterjee,11th,3.7,46,7.5,4.5,76,54,45,33
45,Mohit Rathore,10th,0.5,53,4.9,8.7,31,20,16,21
46,Kavya Bose,12th,6.3,51,7.8,4.6,72,68,62,69
47,Ananya Verma,10th,5.1,59,5.8,3.7,51,65,61,41
48,Rahul Kaur,10th,6.3,92,6.1,2.1,95,87,70,70
49,Simran Mehta,12th,0.3,45,4.9,1.4,90,12,19,15
50,Farhan Vardhan,11th,6.7,75,4.6,3.5,82,84,90,85
51,Arjun Tiwari,11th,4.7,80,5.9,5.9,41,46,51,49
52,Priya Verma,10th,1.5,76,7.8,2.5,46,40,49,38
53,Manish Yadav,10th,5.2,64,8.4,7.8,35,46,48,55
54,Jyoti Chawla,12th,4.9,90,5.0,6.6,86,85,72,82
55,Sanjay Desai,10th,4.4,40,8.0,0.8,69,47,61,61
56,Ananya Agarwal,11th,2.7,78,8.7,7.2,92,51,58,49
57,Sanjay Malhotra,12th,2.4,56,8.2,3.8,44,41,36,40
58,Mohit Joshi,12th,4.0,57,8.2,6.3,70,46,45,42
59,Ishita Pillai,10th,6.8,73,9.3,1.9,53,73,74,70
60,Vidya Rao,10th,6.0,76,9.3,2.2,98,78,64,60
61,Yogesh Malhotra,12th,6.0,65,5.4,6.4,85,71,62,70
62,Abhinav Rao,12th,6.0,71,5.6,6.7,59,56,56,57
63,Rahul Singh,10th,2.5,90,9.0,2.0,52,54,49,40
64,Qasim Bhatt,10th,1.4,65,6.1,3.1,35,48,30,25
65,Harsh Yadav,10th,4.8,53,7.5,7.5,42,35,40,44
66,Kabir Nair,10th,5.7,98,6.2,6.9,97,80,64,67
67,Imran Iyer,11th,6.2,91,4.3,2.6,36,83,77,78
68,Rahul Vardhan,12th,5.5,64,8.9,8.1,54,52,60,58
69,Kavya Gupta,12th,1.1,71,9.2,4.5,84,29,38,28
70,Aditya Reddy,12th,3.0,75,9.3,4.9,92,51,38,47
71,Lavanya Rathore,11th,5.6,54,5.5,2.3,51,63,64,69
72,Aisha Patel,10th,5.8,98,5.5,8.9,34,67,71,69
73,Kabir Chatterjee,12th,2.1,41,7.0,1.6,92,38,44,44
74,Kavya Rao,12th,0.6,87,5.7,2.1,35,21,19,22
75,Nisha Joshi,10th,6.9,56,6.4,5.9,41,73,78,70
76,Meera Joshi,12th,4.8,53,4.0,7.3,80,65,55,42
77,Manish Verma,10th,4.6,82,7.2,4.6,55,56,49,50
78,Waseem Nair,11th,2.7,63,5.1,7.5,53,52,38,50
79,Om Agarwal,11th,1.8,78,5.7,1.8,31,37,35,26
80,Divya Tiwari,11th,3.2,81,5.3,5.0,96,51,59,58
81,Neha Patel,10th,2.1,59,6.6,6.2,38,30,27,36
82,Kabir Joshi,12th,3.7,78,8.5,6.6,92,59,53,41
83,Yash Desai,11th,2.9,60,4.4,3.7,58,42,47,49
84,Waseem Vardhan,10th,2.9,68,4.6,7.0,51,38,41,48
85,Xena Kapoor,10th,4.5,44,6.4,5.3,92,52,42,36
86,Aarav Verma,12th,5.2,86,5.9,7.1,69,76,78,72
87,Abhinav Kapoor,10th,5.1,56,8.2,5.1,83,56,65,52
88,Jyoti Gupta,11th,4.6,91,6.9,3.8,98,73,76,76
89,Riya Sharma,10th,2.6,67,4.1,8.1,48,42,37,41
90,Arjun Chawla,12th,4.3,68,6.8,2.7,50,48,49,46
91,Karan Rathore,11th,1.8,72,6.6,3.3,91,35,47,35
92,Kavya Desai,11th,1.6,79,6.1,4.2,50,53,41,53
93,Jyoti Kaur,12th,6.7,91,9.0,5.8,64,77,67,66
94,Rohan Chawla,10th,4.0,61,6.9,5.7,45,62,60,47
95,Jyoti Mehta,11th,0.5,93,9.1,4.9,89,50,42,52
96,Divya Patel,11th,5.7,51,7.1,7.8,92,65,67,72
97,Sanjay Reddy,11th,1.8,72,7.2,7.1,92,35,32,26
98,Waseem Singh,11th,5.0,58,5.8,5.1,48,61,57,58
99,Suresh Vardhan,12th,6.5,84,6.3,3.7,97,77,87,79
100,Ananya Gupta,10th,0.5,48,8.5,1.1,92,36,32,43
101,Gauri Pillai,10th,1.3,100,7.4,5.3,98,59,57,53
102,Karan Malhotra,10th,5.3,65,4.1,7.8,71,65,55,62
103,Rahul Sharma,12th,1.3,99,4.6,8.8,87,27,33,30
104,Rahul Bhatt,12th,1.3,46,8.0,7.7,68,23,34,20
105,Zara Bhatt,11th,3.4,53,7.7,6.0,76,57,52,56
106,Pallavi Iyer,10th,6.3,88,4.8,5.5,98,68,70,78
107,Harsh Vardhan,10th,4.6,71,6.5,5.8,32,45,51,46
108,Devansh Bhatt,11th,5.8,92,8.7,2.0,37,77,86,86
109,Meera Vardhan,10th,1.9,91,4.3,2.1,33,35,32,44
110,Karan Singh,11th,4.9,97,9.3,5.2,66,61,62,70
111,Rohan Mehta,12th,6.9,58,4.4,1.0,58,74,64,67
112,Aditya Yadav,12th,5.7,64,8.5,8.7,33,70,48,45
113,Sanjay Malhotra,12th,1.3,68,5.0,5.0,53,37,37,44
114,Tara Chawla,12th,4.2,83,9.4,8.7,44,49,32,22
115,Kavya Vardhan,11th,6.7,100,8.2,1.6,74,94,93,74
116,Ritu Reddy,10th,5.9,49,4.1,6.3,45,58,50,63
117,Manish Sharma,10th,2.1,41,8.1,6.9,44,35,41,35
118,Aisha Chawla,11th,2.9,48,7.1,5.8,47,31,33,38
119,Gauri Bhatt,11th,2.6,54,7.0,7.5,54,31,32,29
120,Aditya Joshi,11th,5.3,87,4.4,5.4,39,60,50,58
121,Meera Kapoor,10th,6.2,92,5.2,5.8,72,78,83,78
122,Divya Agarwal,11th,1.0,90,4.6,8.6,96,51,36,22
123,Qasim Rathore,12th,6.1,85,8.0,4.6,64,71,63,71
124,Om Pillai,10th,1.9,88,8.6,8.3,67,49,43,44
125,Yogesh Vardhan,11th,5.5,74,4.1,1.9,81,71,69,63
126,Bhavna Tiwari,11th,5.3,90,7.9,7.3,94,61,56,46
127,Meera Singh,12th,2.8,84,7.9,1.7,69,63,66,60
128,Nikhil Agarwal,10th,2.4,46,8.5,4.3,69,38,39,21
129,Kavya Desai,12th,2.2,70,4.6,2.1,98,54,53,63
130,Uday Gupta,11th,6.7,99,5.1,2.8,94,83,80,69
131,Pooja Bose,12th,1.1,54,7.0,6.8,84,37,34,36
132,Abhinav Chawla,11th,0.4,65,7.6,8.9,32,19,5,5
133,Riya Joshi,11th,2.5,48,6.6,3.8,40,36,38,31
134,Jyoti Rao,10th,5.3,,7.2,5.0,68,56,54,50
135,Kavya Nair,10th,0.8,58,5.1,4.8,36,23,35,32
136,Yash Nair,10th,1.6,70,5.7,2.4,46,29,37,30
137,Sanjay Tiwari,10th,2.2,83,9.0,4.0,87,52,59,54
138,Ananya Kapoor,11th,4.1,56,7.9,8.6,86,51,64,49
139,Xena Rathore,10th,6.7,70,7.6,1.5,60,82,72,65
140,Manish Chatterjee,12th,3.4,50,9.3,4.3,45,40,50,36
141,Farhan Chatterjee,10th,3.4,88,7.5,5.4,39,60,38,32
142,Imran Bhatt,10th,2.0,46,6.6,1.4,91,54,43,40
143,Rohan Iyer,12th,3.9,41,7.8,4.1,79,49,37,48
144,Suresh Mehta,12th,2.9,71,6.4,8.9,51,36,38,38
145,Deepika Tiwari,10th,0.8,96,7.2,2.1,79,28,30,36
146,Ishita Pillai,12th,4.5,44,8.6,2.6,35,62,58,58
147,Jyoti Reddy,10th,3.9,100,7.0,0.8,44,70,68,69
148,Imran Vardhan,10th,5.4,63,8.2,8.0,79,61,69,62
149,Lavanya Joshi,11th,1.8,71,5.0,3.8,55,39,31,38
150,Pallavi Chatterjee,10th,5.1,40,5.2,6.1,70,60,65,57
151,Sneha Iyer,11th,4.7,65,7.1,6.0,88,50,40,25
152,Aisha Desai,12th,2.2,69,4.2,8.0,75,52,52,41
153,Uday Iyer,11th,4.1,100,5.8,4.9,43,53,51,51
